resolution_name,entity_name,y_pred,y_actual,predict_proba
CLINTON,BILLCLINTON,1,0,1.0
NANCYPELOSI,NANCYPELOSI,1,1,1.0
BARACKOBAMA,BARACKOBAMA,1,1,1.0
JOEBIDEN,JOEBIDEN,1,1,1.0
JOHNMCCAIN,JOHNMCCAIN,1,1,1.0
ELIZABETHWARREN,ELIZABETHWARREN,1,1,0.85
BETOOROURKE,BETOOROURKE,1,1,1.0
JAMESCOMEY,JAMESCOMEY,1,1,1.0
MIKEPOMPEO,MIKEPOMPEO,1,1,1.0
MIKEPOMPEO,MIKEPENCE,1,0,1.0
CORYBOOKER,CORYBOOKER,1,1,1.0
MICHAELDCOHEN,MICHAELCOHEN,1,1,0.9666666666666666
MIKEPENCE,MIKEPOMPEO,1,0,1.0
MIKEPENCE,MIKEPENCE,1,1,1.0
JAMESBCOMEY,JAMESCOMEY,1,1,0.8666666666666666
MIKE,MIKEPOMPEO,1,0,0.9
RODJROSENSTEIN,RODROSENSTEIN,1,1,0.9666666666666666
KELLYANNECONWAY,KELLYANNECONWAY,1,1,0.85
WILLIAMPBARR,WILLIAMBARR,1,1,0.9666666666666666
KASICH,JOHNKASICH,1,1,1.0
JOHNBOLTON,JOHNBOLTON,1,1,1.0
DONALDJTRUMP,DONALDTRUMP,1,1,0.9666666666666666
DONALDJTRUMP,DONALDTRUMPJR,1,0,1.0
JIMMATTIS,JAMESMATTIS,1,1,1.0
GEORGEBUSH,GEORGEBUSH,1,1,1.0
