id,location,parent,parent_id
0,Kabul,Afghanistan,11557
1,Sharan,Afghanistan,11557
2,Zaranj,Afghanistan,11557
3,Lashkar Gah,Afghanistan,11557
4,Kandahar,Afghanistan,11557
5,Tarin Kowt,Afghanistan,11557
6,Herat,Afghanistan,11557
7,Ghazni,Afghanistan,11557
8,Maidan Shahr,Afghanistan,11557
9,Andkhvoy,Afghanistan,11557
10,Pol-e Khomri,Afghanistan,11557
11,Mazar-e Sharif,Afghanistan,11557
12,Sar-e Pul,Afghanistan,11557
13,Meymaneh,Afghanistan,11557
14,Gardiz,Afghanistan,11557
15,Asadabad,Afghanistan,11557
16,Jalalabad,Afghanistan,11557
17,Zareh Sharan,Afghanistan,11557
18,Mehtar Lam,Afghanistan,11557
19,Aybak,Afghanistan,11557
20,Sheberghan,Afghanistan,11557
21,Khost,Afghanistan,11557
22,Farah,Afghanistan,11557
23,Mahmud-E Eraqi,Afghanistan,11557
24,Qala i Naw,Afghanistan,11557
25,Feyzabad,Afghanistan,11557
26,Charikar,Afghanistan,11557
27,Nili,Afghanistan,11557
28,Bazarak,Afghanistan,11557
29,Kondoz,Afghanistan,11557
30,Qalat,Afghanistan,11557
31,Taloqan,Afghanistan,11557
32,Mayda Shahr,Afghanistan,11557
33,Balkh,Afghanistan,11557
34,Baghlan,Afghanistan,11557
35,Bamian,Afghanistan,11557
36,Karokh,Afghanistan,11557
37,Baraki Barak,Afghanistan,11557
38,Pul-e `Alam,Afghanistan,11557
39,Parun,Afghanistan,11557
40,Chaghcharan,Afghanistan,11557
41,Berat,Albania,11645
42,Korce,Albania,11645
43,Librazhd,Albania,11645
44,Gjirokaster,Albania,11645
45,Puke,Albania,11645
46,Kruje,Albania,11645
47,Tepelene,Albania,11645
48,Rreshen,Albania,11645
49,Corovode,Albania,11645
50,Shkoder,Albania,11645
51,Lushnje,Albania,11645
52,Erseke,Albania,11645
53,Bajram Curri,Albania,11645
54,Durres,Albania,11645
55,Burrel,Albania,11645
56,Kukes,Albania,11645
57,Gramsh,Albania,11645
58,Lezhe,Albania,11645
59,Sarande,Albania,11645
60,Permet,Albania,11645
61,Pogradec,Albania,11645
62,Elbasan,Albania,11645
63,Peshkopi,Albania,11645
64,Fier,Albania,11645
65,Tirana,Albania,11645
66,Vlore,Albania,11645
67,Beni Ounif,Algeria,11702
68,Algiers,Algeria,11702
69,Hassi Messaoud,Algeria,11702
70,Touggourt,Algeria,11702
71,Djanet,Algeria,11702
72,I-n-Amenas,Algeria,11702
73,El Golea,Algeria,11702
74,In Amguel,Algeria,11702
75,Reggane,Algeria,11702
76,I-n-Salah,Algeria,11702
77,Timimoun,Algeria,11702
78,Sefra,Algeria,11702
79,Abadla,Algeria,11702
80,Oum el Bouaghi,Algeria,11702
81,Souk Ahras,Algeria,11702
82,Illizi,Algeria,11702
83,Tissemsilt,Algeria,11702
84,Tindouf,Algeria,11702
85,Tamanrasset,Algeria,11702
86,Ouargla,Algeria,11702
87,M'sila,Algeria,11702
88,Guelma,Algeria,11702
89,El Oued,Algeria,11702
90,Bordj Bou Arreridj,Algeria,11702
91,Annaba,Algeria,11702
92,Ain Temouchent,Algeria,11702
93,Ain Defla,Algeria,11702
94,Adrar,Algeria,11702
95,Batna,Algeria,11702
96,Bechar,Algeria,11702
97,Bejaia,Algeria,11702
98,Biskra,Algeria,11702
99,Blida,Algeria,11702
100,Bouira,Algeria,11702
101,Boumerdes,Algeria,11702
102,Chlef,Algeria,11702
103,Constantine,Algeria,11702
104,Djelfa,Algeria,11702
105,El Bayadh,Algeria,11702
106,El Tarf,Algeria,11702
107,Ghardaia,Algeria,11702
108,Jijel,Algeria,11702
109,Khenchela,Algeria,11702
110,Laghouat,Algeria,11702
111,Mascara,Algeria,11702
112,Medea,Algeria,11702
113,Mila,Algeria,11702
114,Mostaganem,Algeria,11702
115,Naama,Algeria,11702
116,Oran,Algeria,11702
117,Relizane,Algeria,11702
118,Setif,Algeria,11702
119,Sidi bel Abbes,Algeria,11702
120,Skikda,Algeria,11702
121,Tebessa,Algeria,11702
122,Tiarat,Algeria,11702
123,Tipasa,Algeria,11702
124,Tizi-Ouzou,Algeria,11702
125,Tlimcen,Algeria,11702
126,Pago Pago,American Samoa,11577
127,Ordino,Andorra,130
128,La Massana,Andorra,130
129,Canillo,Andorra,130
130,Andorra,Andorra,-1
131,Encamp,Andorra,130
132,Sant Julia de Loria,Andorra,130
133,Escaldes-Engordany,Andorra,130
134,Luiana,Angola,9855
135,Mavinga,Angola,9855
136,Benguela,Angola,9855
137,Cangamba,Angola,9855
138,Cabinda,Angola,9855
139,Xangongo,Angola,9855
140,Huambo,Angola,9855
141,Chitado,Angola,9855
142,Luena,Angola,9855
143,Mucusso,Angola,9855
144,Ndalatando,Angola,9855
145,Ondjiva,Angola,9855
146,Mbanza-Congo,Angola,9855
147,Nzeto,Angola,9855
148,Capenda-Camulemba,Angola,9855
149,Calulo,Angola,9855
150,Calucinga,Angola,9855
151,Lubango,Angola,9855
152,Songo,Angola,9855
153,Camabatela,Angola,9855
154,Cacolo,Angola,9855
155,Ambriz,Angola,9855
156,Saurimo,Angola,9855
157,Luanda,Angola,9855
158,Waku Kungo,Angola,9855
159,Muconda,Angola,9855
160,Quipungo,Angola,9855
161,Uige,Angola,9855
162,Quibala,Angola,9855
163,Menongue,Angola,9855
164,Sumbe,Angola,9855
165,Luau,Angola,9855
166,Caxito,Angola,9855
167,Cazombo,Angola,9855
168,Malanje,Angola,9855
169,Lobito,Angola,9855
170,Soyo,Angola,9855
171,Kuito,Angola,9855
172,Cuito Caunavale,Angola,9855
173,Chibemba,Angola,9855
174,Chibia,Angola,9855
175,Camacupa,Angola,9855
176,Cubal,Angola,9855
177,Namibe,Angola,9855
178,Tombua,Angola,9855
179,Lucapa,Angola,9855
180,Dundo,Angola,9855
181,The Valley,Anguilla,11759
182,Saint John's,Antigua And Barbuda,11638
183,Los Blancos,Argentina,11601
184,General Roca,Argentina,11601
185,Ushuaia,Argentina,11601
186,28 de Noviembre,Argentina,11601
187,Comondante Luis Piedrabuena,Argentina,11601
188,Rio Gallegos,Argentina,11601
189,Parana,Argentina,11601
190,Salta,Argentina,11601
191,Darregueira,Argentina,11601
192,Trelew,Argentina,11601
193,Rawson,Argentina,11601
194,La Rioja,Argentina,11601
195,Villalonga,Argentina,11601
196,Viedma,Argentina,11601
197,Sunchales,Argentina,11601
198,Rio Colorado,Argentina,11601
199,Pedro Luro,Argentina,11601
200,San Salvador de Jujuy,Argentina,11601
201,Resistencia,Argentina,11601
202,Posadas,Argentina,11601
203,Paso Rio Mayo,Argentina,11601
204,Venado Tuerto,Argentina,11601
205,Corrientes,Argentina,11601
206,Las Lomitas,Argentina,11601
207,Mar de Ajo,Argentina,11601
208,Cutral Co,Argentina,11601
209,Ingeniero Jacobacci,Argentina,11601
210,Santiago del Estero,Argentina,11601
211,Uspallata,Argentina,11601
212,Tucuman,Argentina,11601
213,Comallo,Argentina,11601
214,El Maiten,Argentina,11601
215,Mendoza,Argentina,11601
216,Neuquen,Argentina,11601
217,Catamarca,Argentina,11601
218,Villa Rumipal,Argentina,11601
219,Rio Tercero,Argentina,11601
220,Malargue,Argentina,11601
221,Tinogasta,Argentina,11601
222,Rinconada,Argentina,11601
223,Abra Pampa,Argentina,11601
224,Humahuaca,Argentina,11601
225,Libertador General San Martin,Argentina,11601
226,Susques,Argentina,11601
227,Choele Choel,Argentina,11601
228,General Conesa,Argentina,11601
229,San Antonio Oeste,Argentina,11601
230,Sierra Colorado,Argentina,11601
231,San Carlos de Bariloche,Argentina,11601
232,Puerto Madryn,Argentina,11601
233,Telsen,Argentina,11601
234,Sarmiento,Argentina,11601
235,Alto Rio Sanguer,Argentina,11601
236,Gastre,Argentina,11601
237,Pampa del Infierno,Argentina,11601
238,Charata,Argentina,11601
239,Presidencia Roque Saenz Pena,Argentina,11601
240,Rodeo,Argentina,11601
241,Villa Maria,Argentina,11601
242,Las Heras,Argentina,11601
243,Chilecito,Argentina,11601
244,Ingeniero Guillermo N. Juarez,Argentina,11601
245,Comandante Fontana,Argentina,11601
246,Chumbicha,Argentina,11601
247,Puerto Deseado,Argentina,11601
248,Perito Moreno,Argentina,11601
249,Puerto San Julian,Argentina,11601
250,Gobernador Gregores,Argentina,11601
251,Tunuyan,Argentina,11601
252,General Pico,Argentina,11601
253,25 de Mayo,Argentina,11601
