Name,Known For
Amy Adams,Arrival
Tessa Thompson,Creed
Margot Robbie,Suicide Squad
Dwayne Johnson,Jumanji: Welcome to the Jungle
Olivia Cooke,Ready Player One
Lily James,Cinderella
Tom Cruise,Top Gun
Tom Hanks,Cast Away
Joaquin Phoenix,Walk the Line
Christina Hendricks,Ginger & Rosa
Alicia Vikander,Ex Machina
Brie Larson,Room
Elisabeth Moss,The One I Love
Emily Blunt,Edge of Tomorrow
Tom Hardy,Inception
Scarlett Johansson,Her
Chris Pratt,Guardians of the Galaxy
Josh Brolin,Avengers: Infinity War
John Krasinski,A Quiet Place
Natalie Dormer,Game of Thrones
Anne Hathaway,Les Miserables
Vanessa Kirby,The Crown
Emilia Clarke,Game of Thrones
Saoirse Ronan,Hanna
Chris Hemsworth,The Avengers
Evan Rachel Wood,Thirteen
Rachel McAdams,The Notebook
Ezra Miller,The Perks of Being a Wallflower
Harrison Ford,Raiders of the Lost Ark
Walton Goggins,Justified
Sofia Boutella,Star Trek Beyond
Zendaya,Spider-Man: Homecoming
Jennifer Lawrence,The Hunger Games
Benicio Del Toro,Sicario
Robert Downey Jr.,Iron Man
Jessica Chastain,Zero Dark Thirty
Tom Holland,Spider-Man: Homecoming
Ryan Reynolds,Deadpool
Benedict Cumberbatch,The Imitation Game
Sebastian Stan,Captain America: Civil War
Keanu Reeves,The Matrix
Olivia Munn,The Newsroom
Rosamund Pike,Gone Girl
Emma Stone,La La Land
Denzel Washington,Fences
Bradley Whitford,Get Out
Chris Pine,Star Trek
Taron Egerton,Kingsman: The Secret Service
Michelle Williams,Blue Valentine
Hailee Steinfeld,True Grit
Chris Evans,The Avengers
Elizabeth Olsen,Martha Marcy May Marlene
Robin Wright,Forrest Gump
Natalie Portman,Black Swan
Cate Blanchett,Carol
Tom Hiddleston,The Avengers
Kevin Bacon,Footloose
Alexander Skarsgard,True Blood
Joel Kinnaman,RoboCop
Zac Efron,High School Musical 3: Senior Year
Joseph Fiennes,Shakespeare in Love
Aubrey Plaza,Safety Not Guaranteed
Zoe Saldana,Guardians of the Galaxy
Michael Pena,American Hustle
Kate McKinnon,Ghostbusters
Anya Taylor-Joy,The VVitch: A New-England Folktale
Michelle Monaghan,Kiss Kiss Bang Bang
James McAvoy,Split
Holly Hunter,The Piano
Laura Dern,Jurassic Park
Keira Knightley,Pirates of the Caribbean: The Curse of the Black Pearl
Tye Sheridan,Mud
Rachel Weisz,The Constant Gardener
Shailene Woodley,Divergent
Claire Foy,First Man
Anna Kendrick,Up in the Air
Jake Gyllenhaal,Nightcrawler
Jesse Plemons,Game Night
Timothee Chalamet,Call Me by Your Name
Matt Damon,Good Will Hunting
Millie Bobby Brown,Stranger Things
Idris Elba,Beasts of No Nation
Jeremy Renner,The Hurt Locker
Charlize Theron,Monster
Hugh Jackman,Les Miserables
Thandie Newton,Crash
Rose Leslie,The Last Witch Hunter
Melissa McCarthy,The Heat
Steve Carell,The Office
LaKeith Stanfield,Sorry to Bother You
Daisy Ridley,Star Wars: Episode VII - The Force Awakens
Mackenzie Davis,Halt and Catch Fire
Christian Bale,The Dark Knight
Kristen Stewart,Snow White and the Huntsman
Domhnall Gleeson,Ex Machina
Ryan Gosling,Blue Valentine
Rose Byrne,Spy
Samuel L. Jackson,Pulp Fiction
Jon Bernthal,The Wolf of Wall Street
Rachel Brosnahan,House of Cards
