name,birthcity,countryName,birthyear,gender,occupation,industry,domain,TotalPageViews,StdDevPageViews,PageViewsEnglish,AverageViews,bad_data,
Abraham Lincoln,Hodgenville,UNITED STATES,1809,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,66145211,586914.722,41477236,504925.2748,,
Aristotle,Stageira,Greece,-384,Male,PHILOSOPHER,PHILOSOPHY,HUMANITIES,56355172,201067.4607,15745351,370757.7105,,
Ayn Rand,Saint Petersburg,Russia,1905,Female,WRITER,LANGUAGE,HUMANITIES,14208218,87632.4902,11023490,258331.2364,,
Andre Agassi,Las Vegas,UNITED STATES,1970,Male,TENNIS PLAYER,INDIVIDUAL SPORTS,SPORTS,11244030,85553.3181,6353888,162956.9565,,
Aldous Huxley,Godalming,UNITED KINGDOM,1894,Male,WRITER,LANGUAGE,HUMANITIES,9268920,33037.03209,5137256,149498.7097,,
Andrei Tarkovsky,Zavrazhye,Russia,1932,Male,FILM DIRECTOR,FILM AND THEATRE,ARTS,4004103,14987.96969,1808634,78511.82353,,
Arthur Schopenhauer,Gdańsk,POLAND,1788,Male,PHILOSOPHER,PHILOSOPHY,HUMANITIES,11622780,61718.81469,2743101,147123.7975,,
Albert Einstein,Ulm,Germany,1879,Male,PHYSICIST,NATURAL SCIENCES,SCIENCE & TECHNOLOGY,89771090,342755.955,34276454,540789.6988,,
Alexander the Great,Pella,Greece,-356,Male,MILITARY PERSONNEL,MILITARY,INSTITUTIONS,48358148,153675.9172,19942587,350421.3623,,
Alfred Hitchcock,Leytonstone,UNITED KINGDOM,1899,Male,FILM DIRECTOR,FILM AND THEATRE,ARTS,23216701,164426.3051,10496279,232167.01,,
Attila the Hun,Hajdúböszörmény,Hungary,406,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,11123103,59842.86906,2971786,134013.2892,,
Alfred Nobel,Stockholm,SWEDEN,1833,Male,CHEMIST,NATURAL SCIENCES,SCIENCE & TECHNOLOGY,11998627,79776.41048,4360758,110079.1468,,
Alexander Graham Bell,Edinburgh,UNITED KINGDOM,1847,Male,INVENTOR,INVENTION,SCIENCE & TECHNOLOGY,18989520,157392.1342,9443685,202016.1702,,
Andy Warhol,Pittsburgh,UNITED STATES,1928,Male,ARTIST,FINE ARTS,ARTS,34354584,113050.3572,17306096,343545.84,,
Alp Arslan,Other,Unknown,1029,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,1142695,4561.959976,264784,29299.87179,,
Akira Kurosawa,Tokyo,JAPAN,1910,Male,FILM DIRECTOR,FILM AND THEATRE,ARTS,9833860,91964.93387,3746139,96410.39216,,
Anna Kournikova,Moscow,Russia,1910,Female,TENNIS PLAYER,INDIVIDUAL SPORTS,SPORTS,8817761,52365.86755,5859294,157460.0179,,
Andrey Markov,Ryazan,Russia,1856,Male,MATHEMATICIAN,MATH,SCIENCE & TECHNOLOGY,480789,1474.179927,319858,13355.25,,
A. A. Milne,Hampstead,UNITED KINGDOM,1882,Male,WRITER,LANGUAGE,HUMANITIES,2228190,8720.890426,1556213,67520.90909,,
Melvil Dewey,Adams Center,United States,1851,Male,INVENTOR,INVENTION,SCIENCE & TECHNOLOGY,680309,2249.570471,442686,23458.93103,,
Albert Speer,Mannheim,GERMANY,1905,Male,ARCHITECT,DESIGN,ARTS,7724852,22472.3941,3782972,148554.8462,,
Ada Lovelace,London,UNITED KINGDOM,1815,Female,MATHEMATICIAN,MATH,SCIENCE & TECHNOLOGY,13222419,967214.7879,6187390,216760.9672,,
Albert Camus,Dréan,ALGERIA,1913,Male,WRITER,LANGUAGE,HUMANITIES,18091886,225236.2088,5388929,190440.9053,,
Agatha Christie,Torquay,UNITED KINGDOM,1890,Female,WRITER,LANGUAGE,HUMANITIES,19500789,222207.9739,6663457,214294.3846,,
Aaron,Other,Egypt,-1400,Male,RELIGIOUS FIGURE,RELIGION,INSTITUTIONS,2819250,9444.91564,1587626,47783.89831,,
Allen Ginsberg,Newark,UNITED STATES,1926,Male,WRITER,LANGUAGE,HUMANITIES,7134493,21004.54719,4788007,137201.7885,,
Anatoly Karpov,Zlatoust,Russia,1951,Male,CHESSMASTER,INDIVIDUAL SPORTS,SPORTS,1749016,8687.220016,769221,31800.29091,,
Aristophanes,Athens,Greece,-446,Male,WRITER,LANGUAGE,HUMANITIES,4704294,14756.36958,1617766,69180.79412,,
Albert Schweitzer,Kaysersberg,France,1875,Male,PHYSICIAN,MEDICINE,SCIENCE & TECHNOLOGY,5818033,18818.22213,1870665,93839.24194,,
Alexis Carrel,Sainte-Foy-lès-Lyon,France,1873,Male,PHYSICIAN,MEDICINE,SCIENCE & TECHNOLOGY,857702,3588.415423,285436,19946.55814,,
Anatole France,Paris,FRANCE,1844,Male,WRITER,LANGUAGE,HUMANITIES,2192222,6695.338606,609961,31317.45714,,
André Gide,Paris,FRANCE,1869,Male,WRITER,LANGUAGE,HUMANITIES,3180011,8646.948642,807373,48181.98485,,
Avicenna,Bukhara,UZBEKISTAN,980,Male,PHILOSOPHER,PHILOSOPHY,HUMANITIES,10026549,56379.94959,2408563,98299.5,,
Augustin-Jean Fresnel,Broglie,France,1788,Male,PHYSICIST,NATURAL SCIENCES,SCIENCE & TECHNOLOGY,657036,1619.632254,187765,16025.26829,,
Anaximander,Miletus,Turkey,-610,Male,PHILOSOPHER,PHILOSOPHY,HUMANITIES,4275744,23454.07891,749220,61082.05714,,
Aleister Crowley,Royal Leamington Spa,UNITED KINGDOM,1875,Male,RELIGIOUS FIGURE,RELIGION,INSTITUTIONS,15560425,34638.08843,8645906,331072.8723,,
Alan Turing,Maida Vale,UNITED KINGDOM,1912,Male,COMPUTER SCIENTIST,COMPUTER SCIENCE,SCIENCE & TECHNOLOGY,17997811,928280.0478,8685854,166646.3981,,
Alexander Mackenzie,Logierait,UNITED KINGDOM,1822,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,448234,1885.252053,416369,17239.76923,,
Ashoka,Patna,India,-304,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,5148177,44474.35924,3393087,57844.68539,,
