full_name,nickname,gender,type,state,senate_class,party,,,,,,,,,,,,,,,,,,,,,,,,,
Sherrod Brown,,M,sen,OH,1,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Maria Cantwell,,F,sen,WA,1,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin L. Cardin,,M,sen,MD,1,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas R. Carper,,M,sen,DE,1,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
"Robert P. Casey, Jr.",Bob,M,sen,PA,1,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Dianne Feinstein,,F,sen,CA,1,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Amy Klobuchar,,F,sen,MN,1,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Menendez,Bob,M,sen,NJ,1,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Bernard Sanders,Bernie,M,sen,VT,1,Independent,,,,,,,,,,,,,,,,,,,,,,,,,
Debbie Stabenow,,F,sen,MI,1,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Jon Tester,,M,sen,MT,1,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Sheldon Whitehouse,,M,sen,RI,1,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
John Barrasso,,M,sen,WY,1,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Roger F. Wicker,,M,sen,MS,1,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Lamar Alexander,,M,sen,TN,2,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Susan M. Collins,,F,sen,ME,2,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
John Cornyn,,M,sen,TX,2,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Richard J. Durbin,,M,sen,IL,2,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Michael B. Enzi,,M,sen,WY,2,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Lindsey Graham,,M,sen,SC,2,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
James M. Inhofe,Jim,M,sen,OK,2,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Mitch McConnell,,M,sen,KY,2,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Merkley,,M,sen,OR,2,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Reed,Jack,M,sen,RI,2,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
James E. Risch,,M,sen,ID,2,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Pat Roberts,,M,sen,KS,2,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Jeanne Shaheen,,F,sen,NH,2,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Tom Udall,,M,sen,NM,2,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Mark R. Warner,,M,sen,VA,2,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Kirsten E. Gillibrand,,F,sen,NY,1,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Christopher A. Coons,,M,sen,DE,2,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
"Joe Manchin, III",,M,sen,WV,1,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Robert B. Aderholt,,M,rep,AL,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Amash,,M,rep,MI,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Tammy Baldwin,,F,sen,WI,1,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Karen Bass,,F,rep,CA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Michael F. Bennet,,M,sen,CO,3,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Gus M. Bilirakis,,M,rep,FL,,Republican,,,,,,,,,,,,,,,,,,,,,,,,Gus Bilirakis,
Rob Bishop,,M,rep,UT,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
"Sanford D. Bishop, Jr.",,M,rep,GA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Marsha Blackburn,,F,sen,TN,1,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Earl Blumenauer,,M,rep,OR,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,Earl Blumenauer,
Richard Blumenthal,,M,sen,CT,3,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Roy Blunt,,M,sen,MO,3,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
John Boozman,,M,sen,AR,3,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Brady,,M,rep,TX,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Mo Brooks,,M,rep,AL,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Vern Buchanan,,M,rep,FL,,Republican,,,,,,,,,,,,,,,,,,,,,,,,Vern Buchanan,
Larry Bucshon,,M,rep,IN,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Michael C. Burgess,,M,rep,TX,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Richard Burr,,M,sen,NC,3,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
G. K. Butterfield,G.K.,M,rep,NC,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Ken Calvert,,M,rep,CA,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Shelley Moore Capito,,F,sen,WV,2,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
André Carson,,M,rep,IN,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,André Carson,
John R. Carter,,M,rep,TX,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Bill Cassidy,,M,sen,LA,2,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Kathy Castor,,F,rep,FL,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Steve Chabot,,M,rep,OH,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Judy Chu,,F,rep,CA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
David N. Cicilline,,M,rep,RI,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Yvette D. Clarke,,F,rep,NY,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Wm. Lacy Clay,,M,rep,MO,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Emanuel Cleaver,,M,rep,MO,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
James E. Clyburn,Jim,M,rep,SC,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Steve Cohen,,M,rep,TN,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Tom Cole,,M,rep,OK,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
K. Michael Conaway,,M,rep,TX,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Gerald E. Connolly,,M,rep,VA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Cooper,,M,rep,TN,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,Jim Cooper,
Jim Costa,,M,rep,CA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,Jim Costa,
Joe Courtney,,M,rep,CT,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,Joe Courtney (politician),
Mike Crapo,,M,sen,ID,3,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
"Eric A. ""Rick"" Crawford",Rick,M,rep,AR,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Henry Cuellar,,M,rep,TX,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah E. Cummings,,M,rep,MD,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Danny K. Davis,,M,rep,IL,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Susan A. Davis,,F,rep,CA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Peter A. DeFazio,,M,rep,OR,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,Peter DeFazio,
Diana DeGette,,F,rep,CO,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,29710,Diana DeGette
Rosa L. DeLauro,,F,rep,CT,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,Rosa DeLauro,
Scott DesJarlais,,M,rep,TN,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Theodore E. Deutch,,M,rep,FL,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Mario Diaz-Balart,,M,rep,FL,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Lloyd Doggett,,M,rep,TX,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,Lloyd Doggett,
Michael F. Doyle,Mike,M,rep,PA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Sean P. Duffy,,M,rep,WI,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Duncan,,M,rep,SC,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
