SONG,ARTIST
Youngblood,5 Seconds of Summer
FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine
Downtown,Anitta
2002,Anne-Marie
no tears left to cry,Ariana Grande
God is a woman,Ariana Grande
Mine,Bazzi
Meant to Be (feat. Florida Georgia Line),Bebe Rexha
Sin Pijama,Becky G
Eastside (with Halsey & Khalid),benny blanco
lovely (with Khalid),Billie Eilish
Look Alive (feat. Drake),BlocBoy JB
Finesse (Remix) [feat. Cardi B],Bruno Mars
One Kiss (with Dua Lipa),Calvin Harris
Promises (with Sam Smith),Calvin Harris
Havana,Camila Cabello
Never Be the Same,Camila Cabello
I Like It,Cardi B
Solo (feat. Demi Lovato),Clean Bandit
I Miss You (feat. Julia Michaels),Clean Bandit
Dura,Daddy Yankee
Flames,David Guetta
Be Alright,Dean Lewis
Nevermind,Dennis Lloyd
No Brainer,DJ Khaled
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake
God's Plan,Drake
In My Feelings,Drake
Nice For What,Drake
Nonstop,Drake
IDGAF,Dua Lipa
New Rules,Dua Lipa
In My Mind,Dynoro
Shape of You,Ed Sheeran
Perfect,Ed Sheeran
Perfect Duet (Ed Sheeran & Beyonc?),Ed Sheeran
River (feat. Ed Sheeran),Eminem
Him & I (with Halsey),G-Eazy
"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld
Thunder,Imagine Dragons
Believer,Imagine Dragons
Rise,Jonas Blue
Lucid Dreams,Juice WRLD
This Is Me,Keala Settle
All The Stars (with SZA),Kendrick Lamar
HUMBLE.,Kendrick Lamar
Love Lies (with Normani),Khalid
Young Dumb & Broke,Khalid
I Like Me Better,Lauv
Yes Indeed,Lil Baby
Freaky Friday (feat. Chris Brown),Lil Dicky
XO TOUR Llif3,Lil Uzi Vert
Body (feat. brando),Loud Luxury
?chame La Culpa,Luis Fonsi
Coraz?n (feat. Nego do Borel),Maluma
Girls Like You (feat. Cardi B),Maroon 5
What Lovers Do,Maroon 5
FRIENDS,Marshmello
Happier,Marshmello
Silence,Marshmello
Walk It Talk It,Migos
Stir Fry,Migos
Criminal,Natti Natasha
Let You Down,NF
X,Nicky Jam
Te Bot? - Remix,Nio Garcia
Ric Flair Drip (& Metro Boomin),Offset
Vaina Loca,Ozuna
S?guelo Bailando,Ozuna
D?jala que vuelva (feat. Manuel Turizo),Piso 21
Feel It Still,Portugal. The Man
rockstar (feat. 21 Savage),Post Malone
Psycho (feat. Ty Dolla $ign),Post Malone
Better Now,Post Malone
I Fall Apart,Post Malone
Candy Paint,Post Malone
Congratulations,Post Malone
Me Niego,Reik
Plug Walk,Rich The Kid
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental
Too Good At Goodbyes,Sam Smith
Wolves,Selena Gomez
Back To You - From 13 Reasons Why ? Season 2 Soundtrack,Selena Gomez
In My Blood,Shawn Mendes
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes
Call Out My Name,The Weeknd
Pray For Me (with Kendrick Lamar),The Weeknd
Jackie Chan,Ti?sto
SICKO MODE,Travis Scott
Taste (feat. Offset),Tyga
Bella,Wolfine
SAD!,XXXTENTACION
Moonlight,XXXTENTACION
Jocelyn Flores,XXXTENTACION
changes,XXXTENTACION
Fuck Love (feat. Trippie Redd),XXXTENTACION
Everybody Dies In Their Nightmares,XXXTENTACION
Rewrite The Stars,Zac Efron
Dusk Till Dawn - Radio Edit,ZAYN
The Middle,Zedd
