Name,Known For,Birth Date
Karen Gillan,Selfie,1987-11-28
Bryce Dallas Howard,Jurassic World,1981-03-02
Alicia Vikander,Ex Machina,1988-10-03
Tom Hardy,Inception,1977-09-15
Rebecca Ferguson,Mission: Impossible - Rogue Nation,1983-10-19
Lily James,Cinderella,1989-04-05
Jessica Barden,Hanna,1992-07-21
Hannah John-Kamen,Ant-Man and the Wasp,1989-09-07
Josh Brolin,Avengers: Infinity War,1968-02-12
Tessa Thompson,Creed,1983-10-03
Alexandra Daddario,Baywatch,1986-03-16
Brie Larson,Room,1989-10-01
Carla Gugino,Watchmen,1971-08-29
Emilia Clarke,Game of Thrones,1986-10-23
Evangeline Lilly,Ant-Man,1979-08-03
Margot Robbie,Suicide Squad,1990-07-02
Martha Higareda,Street Kings,1983-08-24
Michael B. Jordan,Black Panther,1987-02-09
Ruby Rose,Orange Is the New Black,1986-03-20
Olivia Cooke,Ready Player One,1993-12-27
Morena Baccarin,Deadpool,1979-06-02
Yvonne Strahovski,Dexter,1982-07-30
Julia Garner,Martha Marcy May Marlene,1994-02-01
Noah Centineo,To All the Boys I've Loved Before,1996-05-09
Ana de Armas,Blade Runner 2049,1988-04-30
Kiernan Shipka,Carriers,1999-11-10
John Krasinski,A Quiet Place,1979-10-20
Meghan Markle,Remember Me,1981-08-04
Jacob Elordi,The Kissing Booth,
Parker Posey,Scream 3,1968-11-08
Rami Malek,Bohemian Rhapsody,1981-05-12
Vanessa Kirby,The Crown,
Bonnie Aarons,The Conjuring 2,
Sonoya Mizuno,Ex Machina,1986-07-01
Zendaya,Spider-Man: Homecoming,1996-09-01
Debby Ryan,Insatiable,1993-05-13
Gal Gadot,Wonder Woman,1985-04-30
Emily Blunt,Edge of Tomorrow,1983-02-23
Timoth�e Chalamet,Call Me by Your Name,1995-12-27
Naomi Scott,Aladdin,1993-05-06
Jennifer Lawrence,The Hunger Games,1990-08-15
Joey King,The Act,1999-07-30
Tom Cruise,Top Gun,1962-07-03
Joel Kinnaman,RoboCop,1979-11-25
Jessica Chastain,Zero Dark Thirty,1977-03-24
Alden Ehrenreich,"Hail, Caesar!",1989-11-22
Bill Skarsg�rd,It,1990-08-09
Zazie Beetz,Deadpool 2,
Frances McDormand,Fargo,1957-06-23
Kate Siegel,Hush,1982-08-09
Burt Reynolds,Boogie Nights,1936-02-11
Amber Heard,Aquaman,1986-04-22
Alison Brie,The Lego Movie,1982-12-29
Chadwick Boseman,Black Panther,1977-11-29
Daisy Ridley,Star Wars: Episode VII - The Force Awakens,1992-04-10
Steve Wilder,The Nice Guys,1970-10-23
Eliza Dushku,Bring It On,1980-12-30
Lady Gaga,A Star Is Born,1986-03-28
Zoey Deutch,Set It Up,1994-11-10
Sally Hawkins,The Shape of Water,1976-04-27
Jackson Odell,Forever My Girl,1997-07-02
Allison Mack,Smallville,1982-07-29
Pom Klementieff,Guardians of the Galaxy Vol. 2,1986-05-03
Jimmy Bennett,Orphan,1996-02-09
Abbie Cornish,Candy,1982-08-07
Saoirse Ronan,Hanna,1994-04-12
Letitia Wright,Black Panther,1993-10-31
Elizabeth Olsen,Martha Marcy May Marlene,1989-02-16
Dwayne Johnson,Jumanji: Welcome to the Jungle,1972-05-02
Gemma Chan,Humans,1982-11-29
Rachel Brosnahan,House of Cards,
Claire Foy,First Man,1984-04-16
Milly Shapiro,Hereditary,
Michelle Williams,Blue Valentine,1980-09-09
Henry Cavill,Man of Steel,1983-05-05
Amy Adams,Arrival,1974-08-20
Chris Hemsworth,The Avengers,1983-08-11
Lana Condor,To All the Boys I've Loved Before,1997-05-11
Jason Momoa,Aquaman,1979-08-01
Richard Madden,Game of Thrones,1986-06-18
Joel Edgerton,The Gift,1974-06-23
Cate Blanchett,Carol,1969-05-14
Alice Eve,Before We Go,1982-02-06
Gary Oldman,Tinker Tailor Soldier Spy,1958-03-21
Chris Pratt,Guardians of the Galaxy,1979-06-21
Tom Holland,Spider-Man: Homecoming,1996-06-01
Hailee Steinfeld,True Grit,1996-12-11
Mina Sundwall,Lost in Space,
Ryan Reynolds,Deadpool,1976-10-23
Cristin Milioti,The Wolf of Wall Street,1985-08-16
Olivia Munn,The Newsroom,1980-07-03
Lucy Davis,Wonder Woman,1973-02-17
Blake Lively,Gossip Girl,1987-08-25
Mackenzie Foy,Interstellar,2000-11-10
Amanda Fuller,Last Man Standing,
Scarlett Johansson,Her,1984-11-22
Dichen Lachman,Altered Carbon,1982-02-22
Sam Rockwell,Moon,1968-11-05
Sofia Boutella,Star Trek Beyond,1982-04-03
Evan Rachel Wood,Thirteen,1987-09-07
