Track Name,Artist
Señorita,Shawn Mendes
I Don't Care (with Justin Bieber),Ed Sheeran
bad guy,Billie Eilish
Old Town Road - Remix,Lil Nas X
Beautiful People (feat. Khalid),Ed Sheeran
Callaita,Bad Bunny
Money In The Grave (Drake ft. Rick Ross),Drake
Panini,Lil Nas X
Otro Trago,Sech
You Need To Calm Down,Taylor Swift
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone
Con Calma,Daddy Yankee
If I Can't Have You,Shawn Mendes
Soltera - Remix,Lunay
Piece Of Your Heart,MEDUZA
QUE PRETENDES,J Balvin
Never Really Over,Katy Perry
Someone You Loved,Lewis Capaldi
Loco Contigo (with J. Balvin & Tyga),DJ Snake
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix
Call You Mine (with Bebe Rexha),The Chainsmokers
LA CANCIÓN,J Balvin
Truth Hurts,Lizzo
Old Town Road,Lil Nas X
Higher Love,Kygo
Sucker,Jonas Brothers
The London (feat. J. Cole & Travis Scott),Young Thug
One Thing Right - feat. Kane Brown,Marshmello
Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran
No Me Conoce - Remix,Jhay Cortez
Ransom,Lil Tecca
Rodeo,Lil Nas X
It's You,Ali Gatie
7 rings,Ariana Grande
SOS (feat. Aloe Blacc),Avicii
11 PM,Maluma
Talk,Khalid
No Guidance (feat. Drake),Chris Brown
Te Robaré,Nicky Jam
Shallow,Lady Gaga
Con Altura,ROSALÍA
Don't Check On Me (feat. Justin Bieber & Ink),Chris Brown
Happier,Marshmello
Wow.,Post Malone
Calma - Remix,Pedro Capó
"Go Loko (feat. Tyga, Jon Z)",YG
Heaven,Avicii
Rescue Me,OneRepublic
Only Human,Jonas Brothers
On A Roll,Ashley O
Tal Vez,Paulo Londra
Pa Mí - Remix,Dalex
Don't Call Me Up,Mabel
Lalala,Y2K
Mad Love,Mabel
when the party's over,Billie Eilish
Verte Ir,DJ Luian
ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift
Suge,DaBaby
All Around The World (La La La),R3HAB
Mother's Daughter,Miley Cyrus
Without Me,Halsey
lovely (with Khalid),Billie Eilish
Sweet but Psycho,Ava Max
HP,Maluma
bury a friend,Billie Eilish
Pop Out (feat. Lil Tjay),Polo G
Dancing With A Stranger (with Normani),Sam Smith
Post Malone (feat. RANI),Sam Feldt
EARFQUAKE,"Tyler, The Creator"
Boy With Luv (feat. Halsey),BTS
Runaway,Sebastian Yatra
Easier,5 Seconds of Summer
"thank u, next",Ariana Grande
Shape of You,Ed Sheeran
Cuaderno,Dalex
Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie
Hate Me (with Juice WRLD),Ellie Goulding
Eastside (with Halsey & Khalid),benny blanco
Here With Me,Marshmello
High Hopes,Panic! At The Disco
Bohemian Rhapsody - Remastered 2011,Queen
i'm so tired...,Lauv
Find U Again (feat. Camila Cabello),Mark Ronson
Contra La Pared,Sean Paul
Ritual,Tiësto
rockstar (feat. 21 Savage),Post Malone
The Git Up,Blanco Brown
Que Mas Pues - Remix,Sech
Girls Like You (feat. Cardi B),Maroon 5
Tilidin,Capital Bra
So Am I,Ava Max
Believer,Imagine Dragons
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake
MIDDLE CHILD,J. Cole
Better Now,Post Malone
Better,Khalid
SICKO MODE,Travis Scott
C7osure (You Like),Lil Nas X
wish you were gay,Billie Eilish
Let Me Down Slowly,Alec Benjamin
MIA (feat. Drake),Bad Bunny
3 Nights,Dominic Fike
Youngblood,5 Seconds of Summer
"break up with your girlfriend, i'm bored",Ariana Grande
Perfect,Ed Sheeran
Party In The U.S.A.,Miley Cyrus
On My Way,Alan Walker
Kill This Love,BLACKPINK
Pure Water (with Migos),Mustard
"A Whole New World (End Title) - From ""Aladdin""",ZAYN
Going Bad (feat. Drake),Meek Mill
Paradise,Bazzi
SAD!,XXXTENTACION
Don't Stop Me Now - Remastered,Queen
Lucid Dreams,Juice WRLD
Baila Baila Baila - Remix,Ozuna
Te Soñé De Nuevo,Ozuna
I Like It,Cardi B
Si Supieras,Daddy Yankee
Si Se Da,Myke Towers
