name,birthcity,countryName,birthyear,gender,occupation,industry,domain,TotalPageViews,StdDevPageViews,PageViewsEnglish,AverageViews
Michael Jackson,Gary,UNITED STATES,1958,Male,MUSICIAN,MUSIC,ARTS,145250649,3368345.812,67216609,988099.6531
Justin Bieber,London,CANADA,1994,Male,SINGER,MUSIC,ARTS,113558067,1171017.672,59787119,1208064.543
Barack Obama,Honolulu,UNITED STATES,1961,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,112536577,1409146.656,72672000,562682.885
Eminem,Saint Joseph,UNITED STATES,1972,Male,SINGER,MUSIC,ARTS,108953700,527802.5091,66505927,1312695.181
Lady Gaga,New York,UNITED STATES,1986,Female,MUSICIAN,MUSIC,ARTS,104562647,1002621.618,56998631,786185.3158
Miley Cyrus,Nashville,UNITED STATES,1992,Female,ACTOR,FILM AND THEATRE,ARTS,91947733,372942.097,48648525,1277051.847
Cristiano Ronaldo,Santo António,PORTUGAL,1985,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,91677973,642407.5475,35138959,1053769.805
Rihanna,Saint Michael Parish,BARBADOS,1988,Female,SINGER,MUSIC,ARTS,89939558,473559.3472,48884278,1058112.447
Selena Gomez,Grand Prairie,United States,1992,Female,SINGER,MUSIC,ARTS,87742946,577493.6444,45645833,913989.0208
Johnny Depp,Owensboro,UNITED STATES,1963,Male,ACTOR,FILM AND THEATRE,ARTS,83016743,412044.1787,36362738,1037709.288
Lionel Messi,Rosario,ARGENTINA,1987,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,82454215,786769.4107,29688186,867939.1053
Steve Jobs,San Francisco-Bay Area,UNITED STATES,1955,Male,DESIGNER,DESIGN,ARTS,78372660,2303998.692,45627865,642398.8525
Angelina Jolie,Los Angeles,UNITED STATES,1975,Female,ACTOR,FILM AND THEATRE,ARTS,68213700,300252.032,34643640,749601.0989
Nelson Mandela,Mvezo,SOUTH AFRICA,1918,Male,SOCIAL ACTIVIST,ACTIVISM,PUBLIC FIGURE,67714052,1850487.254,31271016,509128.2105
Kim Kardashian,Los Angeles,UNITED STATES,1980,Female,CELEBRITY,MEDIA PERSONALITY,PUBLIC FIGURE,66670205,380555.187,47834822,1515231.932
Lil Wayne,New Orleans,United States,1982,Male,SINGER,MUSIC,ARTS,64484487,191932.8068,52129870,1401836.674
Marilyn Monroe,Los Angeles,United States,1926,Female,ACTOR,FILM AND THEATRE,ARTS,63671491,429637.8174,31088742,445255.1818
Mark Zuckerberg,Lower Hudson Valley,United States,1984,Male,BUSINESSPERSON,BUSINESS,BUSINESS & LAW,62640549,953554.1396,39243182,736947.6353
Katy Perry,Santa Barbara,UNITED STATES,1984,Female,SINGER,MUSIC,ARTS,61762831,399078.4206,36463275,857817.0972
Bob Marley,Nine Mile,Jamaica,1945,Male,MUSICIAN,MUSIC,ARTS,60597640,282620.4251,25535582,665908.1319
Tupac Shakur,New York,United States,1971,Male,SINGER,MUSIC,ARTS,59789956,200147.609,36806550,866521.1014
Megan Fox,Oak Ridge,UNITED STATES,1986,Female,ACTOR,FILM AND THEATRE,ARTS,59594557,373241.8057,33823561,945945.3492
Nicki Minaj,Saint James,Trinidad and Tobago,1982,Female,SINGER,MUSIC,ARTS,59132166,688440.0929,42689615,1115701.245
Taylor Swift,Reading,United States,1989,Female,ACTOR,FILM AND THEATRE,ARTS,58688243,422497.3338,37700341,863062.3971
Britney Spears,McComb,UNITED STATES,1981,Female,SINGER,MUSIC,ARTS,58474806,181731.4988,30872137,622072.4043
